miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-mir-181b-1	hg38:chr1:198858929-198858948:-	1	0.253450	N	mature,MIMAT0000257
hsa-mir-181b-1	hg38:chr1:198858930-198858948:-	1	0.253450	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693724-124693745:+	1	0.253450	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693724-124693746:+	7	1.774153	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693724-124693747:+	4	1.013802	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693724-124693748:+	4	1.013802	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693724-124693749:+	1	0.253450	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693725-124693743:+	1	0.253450	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693725-124693744:+	1	0.253450	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693725-124693745:+	7	1.774153	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693725-124693746:+	143	36.243409	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693725-124693747:+	277	70.205764	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693725-124693748:+	404	102.393966	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693725-124693749:+	223	56.519442	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693725-124693750:+	104	26.358843	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693726-124693746:+	2	0.506901	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693726-124693747:+	5	1.267252	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693726-124693748:+	7	1.774153	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693726-124693749:+	9	2.281054	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693726-124693750:+	4	1.013802	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693727-124693750:+	1	0.253450	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693729-124693748:+	1	0.253450	N	mature,MIMAT0000257
hsa-mir-181b-2	hg38:chr9:124693762-124693783:+	3	0.760351	N	mature,MIMAT0031893
hsa-mir-181b-2	hg38:chr9:124693763-124693782:+	2	0.506901	N	mature,MIMAT0031893
hsa-mir-181b-2	hg38:chr9:124693763-124693783:+	6	1.520702	N	mature,MIMAT0031893
hsa-mir-181b-2	hg38:chr9:124693763-124693784:+	2	0.506901	N	mature,MIMAT0031893
hsa-mir-181b-2	hg38:chr9:124693763-124693785:+	2	0.506901	N	mature,MIMAT0031893
hsa-mir-181c	hg38:chr19:13874725-13874745:+	1	0.253450	N	mature,MIMAT0000258
hsa-mir-181c	hg38:chr19:13874725-13874746:+	19	4.815558	N	mature,MIMAT0000258
hsa-mir-181c	hg38:chr19:13874725-13874747:+	70	17.741529	N	mature,MIMAT0000258
hsa-mir-181c	hg38:chr19:13874725-13874748:+	4	1.013802	N	mature,MIMAT0000258
hsa-mir-181c	hg38:chr19:13874725-13874749:+	3	0.760351	N	mature,MIMAT0000258
hsa-mir-181c	hg38:chr19:13874726-13874747:+	1	0.253450	N	mature,MIMAT0000258
hsa-mir-181c	hg38:chr19:13874763-13874785:+	1	0.253450	N	mature,MIMAT0004559
hsa-mir-181c	hg38:chr19:13874764-13874783:+	1	0.253450	N	mature,MIMAT0004559
hsa-mir-181c	hg38:chr19:13874764-13874784:+	1	0.253450	N	mature,MIMAT0004559
hsa-mir-181c	hg38:chr19:13874764-13874785:+	20	5.069008	N	mature,MIMAT0004559
hsa-mir-181c	hg38:chr19:13874764-13874786:+	16	4.055207	N	mature,MIMAT0004559
hsa-mir-181c	hg38:chr19:13874765-13874786:+	1	0.253450	N	mature,MIMAT0004559
hsa-mir-181d	hg38:chr19:13874910-13874931:+	5	1.267252	N	mature,MIMAT0002821
hsa-mir-181d	hg38:chr19:13874910-13874932:+	12	3.041405	N	mature,MIMAT0002821
hsa-mir-181d	hg38:chr19:13874910-13874933:+	12	3.041405	N	mature,MIMAT0002821
hsa-mir-181d	hg38:chr19:13874910-13874934:+	6	1.520702	N	mature,MIMAT0002821
hsa-mir-182	hg38:chr7:129770444-129770471:-	54	13.686322	N	mature,MIMAT0000259
hsa-mir-182	hg38:chr7:129770445-129770466:-	1	0.253450	N	mature,MIMAT0000259
hsa-mir-182	hg38:chr7:129770445-129770467:-	1	0.253450	N	mature,MIMAT0000259
hsa-mir-182	hg38:chr7:129770445-129770470:-	2	0.506901	N	mature,MIMAT0000259
hsa-mir-182	hg38:chr7:129770445-129770471:-	645	163.475515	N	mature,MIMAT0000259
hsa-mir-182	hg38:chr7:129770446-129770470:-	6	1.520702	N	mature,MIMAT0000259
hsa-mir-182	hg38:chr7:129770446-129770471:-	1420	359.899583	N	mature,MIMAT0000259
hsa-mir-182	hg38:chr7:129770447-129770466:-	3	0.760351	N	mature,MIMAT0000259
hsa-mir-182	hg38:chr7:129770447-129770470:-	4	1.013802	N	mature,MIMAT0000259
hsa-mir-182	hg38:chr7:129770447-129770471:-	4544	1151.678665	N	mature,MIMAT0000259
hsa-mir-182	hg38:chr7:129770448-129770471:-	3530	894.679949	N	mature,MIMAT0000259
hsa-mir-182	hg38:chr7:129770449-129770470:-	5	1.267252	N	mature,MIMAT0000259
hsa-mir-182	hg38:chr7:129770449-129770471:-	10454	2649.570592	N	mature,MIMAT0000259
hsa-mir-182	hg38:chr7:129770450-129770470:-	2	0.506901	N	mature,MIMAT0000259
hsa-mir-182	hg38:chr7:129770450-129770471:-	2280	577.866936	N	mature,MIMAT0000259
hsa-mir-182	hg38:chr7:129770451-129770470:-	1	0.253450	N	mature,MIMAT0000259
hsa-mir-182	hg38:chr7:129770451-129770471:-	3338	846.017470	N	mature,MIMAT0000259
hsa-mir-182	hg38:chr7:129770452-129770471:-	266	67.417809	N	mature,MIMAT0000259
hsa-mir-182	hg38:chr7:129770453-129770471:-	20	5.069008	N	mature,MIMAT0000259
hsa-mir-183	hg38:chr7:129774962-129774989:-	1	0.253450	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774963-129774988:-	2	0.506901	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774964-129774989:-	3	0.760351	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774965-129774987:-	2	0.506901	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774965-129774988:-	493	124.951052	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774965-129774989:-	323	81.864483	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774965-129774990:-	1	0.253450	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774966-129774987:-	6	1.520702	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774966-129774988:-	1432	362.940988	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774966-129774989:-	2113	535.540717	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774967-129774984:-	1	0.253450	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774967-129774987:-	1	0.253450	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774967-129774988:-	506	128.245908	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774967-129774989:-	1579	400.198198	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774967-129774990:-	4	1.013802	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774967-129774991:-	1	0.253450	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774968-129774988:-	129	32.695103	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774968-129774989:-	616	156.125453	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774968-129774990:-	4	1.013802	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774968-129774991:-	3	0.760351	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774969-129774988:-	97	24.584690	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774969-129774989:-	713	180.710143	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774969-129774990:-	3	0.760351	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774969-129774991:-	10	2.534504	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774970-129774988:-	4	1.013802	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774970-129774989:-	83	21.036384	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774970-129774991:-	2	0.506901	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774971-129774989:-	5	1.267252	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774972-129774989:-	4	1.013802	N	mature,MIMAT0000261
hsa-mir-183	hg38:chr7:129774972-129774991:-	1	0.253450	N	mature,MIMAT0000261
hsa-mir-184	hg38:chr15:79209840-79209860:+	2	0.506901	N	mature,MIMAT0000454
hsa-mir-184	hg38:chr15:79209840-79209861:+	2	0.506901	N	mature,MIMAT0000454
hsa-mir-184	hg38:chr15:79209840-79209862:+	25	6.336260	N	mature,MIMAT0000454
hsa-mir-184	hg38:chr15:79209840-79209863:+	3	0.760351	N	mature,MIMAT0000454
hsa-mir-185	hg38:chr22:20033153-20033173:+	1	0.253450	N	mature,MIMAT0000455
hsa-mir-185	hg38:chr22:20033153-20033174:+	10	2.534504	N	mature,MIMAT0000455
hsa-mir-185	hg38:chr22:20033153-20033175:+	362	91.749049	N	mature,MIMAT0000455
hsa-mir-185	hg38:chr22:20033153-20033176:+	17	4.308657	N	mature,MIMAT0000455
hsa-mir-185	hg38:chr22:20033187-20033209:+	4	1.013802	N	mature,MIMAT0004611
hsa-mir-185	hg38:chr22:20033188-20033208:+	9	2.281054	N	mature,MIMAT0004611
hsa-mir-185	hg38:chr22:20033188-20033209:+	2	0.506901	N	mature,MIMAT0004611
hsa-mir-186	hg38:chr1:71067679-71067703:-	38	9.631116	N	mature,MIMAT0000456
hsa-mir-186	hg38:chr1:71067680-71067702:-	3	0.760351	N	mature,MIMAT0000456
hsa-mir-186	hg38:chr1:71067680-71067703:-	209	52.971136	N	mature,MIMAT0000456
hsa-mir-186	hg38:chr1:71067681-71067702:-	1	0.253450	N	mature,MIMAT0000456
hsa-mir-186	hg38:chr1:71067681-71067703:-	205	51.957334	N	mature,MIMAT0000456
hsa-mir-186	hg38:chr1:71067682-71067703:-	46	11.658719	N	mature,MIMAT0000456
hsa-mir-186	hg38:chr1:71067682-71067704:-	1	0.253450	N	mature,MIMAT0000456
hsa-mir-186	hg38:chr1:71067683-71067703:-	10	2.534504	N	mature,MIMAT0000456
hsa-mir-186	hg38:chr1:71067684-71067703:-	1	0.253450	N	mature,MIMAT0000456
hsa-mir-187	hg38:chr18:35904835-35904857:-	1	0.253450	N	mature,MIMAT0000262
hsa-mir-188	hg38:chrX:50003517-50003539:+	6	1.520702	N	mature,MIMAT0000457
hsa-mir-188	hg38:chrX:50003517-50003540:+	1	0.253450	N	mature,MIMAT0000457
hsa-mir-188	hg38:chrX:50003556-50003576:+	1	0.253450	N	mature,MIMAT0004613
hsa-mir-188	hg38:chrX:50003556-50003577:+	1	0.253450	N	mature,MIMAT0004613
hsa-mir-18a	hg38:chr13:91350756-91350777:+	1	0.253450	N	mature,MIMAT0000072
hsa-mir-18a	hg38:chr13:91350756-91350778:+	1	0.253450	N	mature,MIMAT0000072
hsa-mir-18a	hg38:chr13:91350756-91350779:+	10	2.534504	N	mature,MIMAT0000072
hsa-mir-18a	hg38:chr13:91350756-91350780:+	1	0.253450	N	mature,MIMAT0000072
hsa-mir-18a	hg38:chr13:91350797-91350820:+	1	0.253450	N	mature,MIMAT0002891
hsa-mir-18b	hg38:chrX:134170086-134170107:-	1	0.253450	N	mature,MIMAT0001412
hsa-mir-1908	hg38:chr11:61815172-61815194:-	1	0.253450	N	mature,MIMAT0026916
hsa-mir-190a	hg38:chr15:62823951-62823971:+	1	0.253450	N	precursor
hsa-mir-190a	hg38:chr15:62823971-62823994:+	3	0.760351	N	mature,MIMAT0000458
hsa-mir-190a	hg38:chr15:62823971-62823995:+	1	0.253450	N	mature,MIMAT0000458
hsa-mir-190a	hg38:chr15:62824008-62824029:+	1	0.253450	N	mature,MIMAT0026482
hsa-mir-191	hg38:chr3:49020631-49020653:-	1	0.253450	N	mature,MIMAT0001618
hsa-mir-191	hg38:chr3:49020670-49020695:-	4	1.013802	N	mature,MIMAT0000440
hsa-mir-191	hg38:chr3:49020671-49020694:-	5	1.267252	N	mature,MIMAT0000440
hsa-mir-191	hg38:chr3:49020671-49020695:-	164	41.565867	N	mature,MIMAT0000440
hsa-mir-191	hg38:chr3:49020672-49020692:-	1	0.253450	N	mature,MIMAT0000440
hsa-mir-191	hg38:chr3:49020672-49020694:-	12	3.041405	N	mature,MIMAT0000440
hsa-mir-191	hg38:chr3:49020672-49020695:-	804	203.774130	N	mature,MIMAT0000440
hsa-mir-191	hg38:chr3:49020673-49020692:-	1	0.253450	N	mature,MIMAT0000440
hsa-mir-191	hg38:chr3:49020673-49020694:-	5	1.267252	N	mature,MIMAT0000440
hsa-mir-191	hg38:chr3:49020673-49020695:-	847	214.672498	N	mature,MIMAT0000440
hsa-mir-191	hg38:chr3:49020674-49020695:-	53	13.432872	N	mature,MIMAT0000440
hsa-mir-191	hg38:chr3:49020675-49020694:-	1	0.253450	N	mature,MIMAT0000440
hsa-mir-191	hg38:chr3:49020675-49020695:-	156	39.538264	N	mature,MIMAT0000440
hsa-mir-191	hg38:chr3:49020676-49020695:-	7	1.774153	N	mature,MIMAT0000440
hsa-mir-191	hg38:chr3:49020677-49020695:-	1	0.253450	N	mature,MIMAT0000440
hsa-mir-192	hg38:chr11:64891159-64891181:-	2	0.506901	N	mature,MIMAT0004543
hsa-mir-192	hg38:chr11:64891200-64891223:-	124	31.427851	N	mature,MIMAT0000222
hsa-mir-192	hg38:chr11:64891200-64891224:-	9	2.281054	N	mature,MIMAT0000222
hsa-mir-192	hg38:chr11:64891201-64891223:-	335	84.905888	N	mature,MIMAT0000222
hsa-mir-192	hg38:chr11:64891201-64891224:-	29	7.350062	N	mature,MIMAT0000222
hsa-mir-192	hg38:chr11:64891202-64891223:-	5	1.267252	N	mature,MIMAT0000222
hsa-mir-192	hg38:chr11:64891202-64891224:-	203	51.450433	N	mature,MIMAT0000222
hsa-mir-192	hg38:chr11:64891203-64891223:-	8	2.027603	N	mature,MIMAT0000222
hsa-mir-192	hg38:chr11:64891203-64891224:-	337	85.412788	N	mature,MIMAT0000222
hsa-mir-192	hg38:chr11:64891204-64891223:-	1	0.253450	N	mature,MIMAT0000222
hsa-mir-192	hg38:chr11:64891204-64891224:-	31	7.856963	N	mature,MIMAT0000222
hsa-mir-192	hg38:chr11:64891205-64891223:-	4	1.013802	Y	mature,MIMAT0000222
hsa-mir-192	hg38:chr11:64891205-64891224:-	25	6.336260	N	mature,MIMAT0000222
hsa-mir-192	hg38:chr11:64891206-64891224:-	6	1.520702	N	mature,MIMAT0000222
hsa-mir-192	hg38:chr11:64891207-64891224:-	1	0.253450	N	mature,MIMAT0000222
hsa-mir-193a	hg38:chr17:31560016-31560034:+	1	0.253450	N	mature,MIMAT0004614
hsa-mir-193a	hg38:chr17:31560016-31560035:+	13	3.294855	N	mature,MIMAT0004614
hsa-mir-193a	hg38:chr17:31560016-31560036:+	7	1.774153	N	mature,MIMAT0004614
hsa-mir-193a	hg38:chr17:31560016-31560037:+	17	4.308657	N	mature,MIMAT0004614
hsa-mir-193a	hg38:chr17:31560016-31560038:+	134	33.962355	N	mature,MIMAT0004614
hsa-mir-193a	hg38:chr17:31560050-31560069:+	1	0.253450	N	mature,MIMAT0000459
hsa-mir-193a	hg38:chr17:31560050-31560071:+	4	1.013802	N	mature,MIMAT0000459
hsa-mir-193a	hg38:chr17:31560050-31560072:+	3	0.760351	N	mature,MIMAT0000459
hsa-mir-193b	hg38:chr16:14303979-14304002:+	1	0.253450	N	mature,MIMAT0004767
hsa-mir-193b	hg38:chr16:14303980-14303999:+	3	0.760351	N	mature,MIMAT0004767
hsa-mir-193b	hg38:chr16:14303980-14304000:+	3	0.760351	N	mature,MIMAT0004767
hsa-mir-193b	hg38:chr16:14303980-14304001:+	14	3.548306	N	mature,MIMAT0004767
hsa-mir-193b	hg38:chr16:14303980-14304002:+	35	8.870764	N	mature,MIMAT0004767
hsa-mir-193b	hg38:chr16:14304017-14304035:+	1	0.253450	N	mature,MIMAT0002819
hsa-mir-193b	hg38:chr16:14304017-14304036:+	1	0.253450	N	mature,MIMAT0002819
hsa-mir-193b	hg38:chr16:14304017-14304037:+	10	2.534504	N	mature,MIMAT0002819
hsa-mir-193b	hg38:chr16:14304017-14304038:+	147	37.257210	N	mature,MIMAT0002819
hsa-mir-193b	hg38:chr16:14304017-14304039:+	736	186.539502	N	mature,MIMAT0002819
hsa-mir-193b	hg38:chr16:14304017-14304040:+	72	18.248430	N	mature,MIMAT0002819
hsa-mir-193b	hg38:chr16:14304017-14304041:+	25	6.336260	N	mature,MIMAT0002819
hsa-mir-193b	hg38:chr16:14304017-14304042:+	4	1.013802	N	mature,MIMAT0002819
hsa-mir-193b	hg38:chr16:14304018-14304039:+	10	2.534504	N	mature,MIMAT0002819
hsa-mir-193b	hg38:chr16:14304018-14304040:+	3	0.760351	N	mature,MIMAT0002819
hsa-mir-193b	hg38:chr16:14304018-14304041:+	6	1.520702	N	mature,MIMAT0002819
hsa-mir-193b	hg38:chr16:14304018-14304042:+	1	0.253450	N	mature,MIMAT0002819
hsa-mir-193b	hg38:chr16:14304019-14304037:+	1	0.253450	N	mature,MIMAT0002819
hsa-mir-193b	hg38:chr16:14304019-14304039:+	14	3.548306	N	mature,MIMAT0002819
hsa-mir-193b	hg38:chr16:14304019-14304040:+	2	0.506901	N	mature,MIMAT0002819
hsa-mir-193b	hg38:chr16:14304039-14304060:+	1	0.253450	N	precursor
hsa-mir-194-1	hg38:chr1:220118204-220118228:-	1	0.253450	N	mature,MIMAT0000460
hsa-mir-194-1	hg38:chr1:220118205-220118228:-	1	0.253450	N	mature,MIMAT0000460
hsa-mir-194-1	hg38:chr1:220118206-220118228:-	210	53.224586	N	mature,MIMAT0000460
hsa-mir-194-1	hg38:chr1:220118207-220118228:-	35	8.870764	N	mature,MIMAT0000460
hsa-mir-194-2	hg38:chr11:64891368-64891390:-	1	0.253450	N	mature,MIMAT0004671
hsa-mir-194-2	hg38:chr11:64891369-64891390:-	1	0.253450	N	mature,MIMAT0004671
hsa-mir-194-2	hg38:chr11:64891402-64891426:-	2	0.506901	N	mature,MIMAT0000460
hsa-mir-194-2	hg38:chr11:64891403-64891426:-	47	11.912169	N	mature,MIMAT0000460
hsa-mir-194-2	hg38:chr11:64891404-64891426:-	210	53.224586	N	mature,MIMAT0000460
hsa-mir-194-2	hg38:chr11:64891404-64891427:-	5	1.267252	N	mature,MIMAT0000460
hsa-mir-194-2	hg38:chr11:64891405-64891426:-	40	10.138016	N	mature,MIMAT0000460
hsa-mir-195	hg38:chr17:7017627-7017650:-	71	17.994979	N	mature,MIMAT0004615
hsa-mir-195	hg38:chr17:7017628-7017648:-	1	0.253450	N	mature,MIMAT0004615
hsa-mir-195	hg38:chr17:7017628-7017649:-	1	0.253450	N	mature,MIMAT0004615
hsa-mir-195	hg38:chr17:7017628-7017650:-	49	12.419070	N	mature,MIMAT0004615
hsa-mir-195	hg38:chr17:7017629-7017650:-	14	3.548306	N	mature,MIMAT0004615
hsa-mir-195	hg38:chr17:7017630-7017650:-	3	0.760351	N	mature,MIMAT0004615
hsa-mir-195	hg38:chr17:7017632-7017650:-	1	0.253450	N	mature,MIMAT0004615
hsa-mir-195	hg38:chr17:7017666-7017688:-	82	20.782934	N	mature,MIMAT0000461
hsa-mir-195	hg38:chr17:7017667-7017688:-	5	1.267252	N	mature,MIMAT0000461
hsa-mir-195	hg38:chr17:7017668-7017688:-	15	3.801756	N	mature,MIMAT0000461
hsa-mir-195	hg38:chr17:7017669-7017688:-	1	0.253450	N	mature,MIMAT0000461
hsa-mir-196a-1	hg38:chr17:48632493-48632516:-	1	0.253450	N	unannotated
hsa-mir-196a-1	hg38:chr17:48632494-48632516:-	1	0.253450	N	unannotated
hsa-mir-196a-1	hg38:chr17:48632495-48632516:-	1	0.253450	N	unannotated
hsa-mir-196a-1	hg38:chr17:48632532-48632554:-	9	2.281054	N	mature,MIMAT0000226
hsa-mir-196a-1	hg38:chr17:48632533-48632554:-	5	1.267252	N	mature,MIMAT0000226
hsa-mir-196a-1	hg38:chr17:48632534-48632554:-	1	0.253450	N	mature,MIMAT0000226
hsa-mir-196a-2	hg38:chr12:53991762-53991783:+	6	1.520702	N	mature,MIMAT0000226
hsa-mir-196a-2	hg38:chr12:53991762-53991784:+	11	2.787955	N	mature,MIMAT0000226
hsa-mir-196a-2	hg38:chr12:53991762-53991785:+	9	2.281054	N	mature,MIMAT0000226
hsa-mir-196b	hg38:chr7:27169526-27169550:-	2	0.506901	N	mature,MIMAT0001080
hsa-mir-196b	hg38:chr7:27169527-27169550:-	18	4.562107	N	mature,MIMAT0001080
hsa-mir-196b	hg38:chr7:27169528-27169550:-	49	12.419070	N	mature,MIMAT0001080
hsa-mir-196b	hg38:chr7:27169529-27169550:-	88	22.303636	N	mature,MIMAT0001080
hsa-mir-196b	hg38:chr7:27169530-27169550:-	9	2.281054	N	mature,MIMAT0001080
hsa-mir-196b	hg38:chr7:27169550-27169573:-	1	0.253450	N	precursor
hsa-mir-197	hg38:chr1:109598877-109598901:+	1	0.253450	N	precursor
hsa-mir-197	hg38:chr1:109598881-109598901:+	2	0.506901	N	precursor
hsa-mir-197	hg38:chr1:109598939-109598962:+	1	0.253450	N	mature,MIMAT0000227
hsa-mir-197	hg38:chr1:109598940-109598960:+	10	2.534504	N	mature,MIMAT0000227
hsa-mir-197	hg38:chr1:109598940-109598961:+	73	18.501880	N	mature,MIMAT0000227
hsa-mir-197	hg38:chr1:109598940-109598962:+	381	96.564606	N	mature,MIMAT0000227
hsa-mir-197	hg38:chr1:109598940-109598963:+	26	6.589711	N	mature,MIMAT0000227
hsa-mir-197	hg38:chr1:109598940-109598964:+	5	1.267252	N	mature,MIMAT0000227
hsa-mir-197	hg38:chr1:109598941-109598964:+	1	0.253450	N	mature,MIMAT0000227
hsa-mir-1976	hg38:chr1:26554573-26554596:+	3	0.760351	N	mature,MIMAT0009451
hsa-mir-1976	hg38:chr1:26554574-26554596:+	9	2.281054	N	mature,MIMAT0009451
hsa-mir-1976	hg38:chr1:26554575-26554596:+	5	1.267252	N	mature,MIMAT0009451
hsa-mir-1976	hg38:chr1:26554575-26554597:+	3	0.760351	N	mature,MIMAT0009451
hsa-mir-199a-1	hg38:chr19:10817428-10817450:-	1	0.253450	Y	mature,MIMAT0000232
hsa-mir-199a-1	hg38:chr19:10817428-10817451:-	7	1.774153	Y	mature,MIMAT0000232
hsa-mir-199a-1	hg38:chr19:10817429-10817450:-	44	11.151818	Y	mature,MIMAT0000232
hsa-mir-199a-1	hg38:chr19:10817429-10817451:-	78	19.769132	Y	mature,MIMAT0000232
hsa-mir-199a-1	hg38:chr19:10817429-10817452:-	6	1.520702	Y	mature,MIMAT0000232
hsa-mir-199a-1	hg38:chr19:10817430-10817448:-	1	0.253450	Y	mature,MIMAT0000232
hsa-mir-199a-1	hg38:chr19:10817430-10817450:-	43	10.898368	Y	mature,MIMAT0000232
hsa-mir-199a-1	hg38:chr19:10817430-10817451:-	165	41.819318	Y	mature,MIMAT0000232
hsa-mir-199a-1	hg38:chr19:10817430-10817452:-	83	21.036384	Y	mature,MIMAT0000232
hsa-mir-199a-1	hg38:chr19:10817431-10817450:-	5	1.267252	Y	mature,MIMAT0000232
hsa-mir-199a-1	hg38:chr19:10817431-10817451:-	32	8.110413	Y	mature,MIMAT0000232
hsa-mir-199a-1	hg38:chr19:10817431-10817452:-	20	5.069008	Y	mature,MIMAT0000232
hsa-mir-199a-1	hg38:chr19:10817432-10817451:-	2	0.506901	Y	mature,MIMAT0000232
hsa-mir-199a-1	hg38:chr19:10817432-10817452:-	2	0.506901	Y	mature,MIMAT0000232
hsa-mir-199a-1	hg38:chr19:10817433-10817452:-	1	0.253450	Y	mature,MIMAT0000232
hsa-mir-199a-1	hg38:chr19:10817468-10817492:-	8	2.027603	N	mature,MIMAT0000231
hsa-mir-199a-1	hg38:chr19:10817469-10817491:-	2	0.506901	N	mature,MIMAT0000231
hsa-mir-199a-1	hg38:chr19:10817469-10817492:-	815	206.562085	N	mature,MIMAT0000231
hsa-mir-199a-1	hg38:chr19:10817470-10817492:-	40	10.138016	N	mature,MIMAT0000231
hsa-mir-199a-1	hg38:chr19:10817471-10817492:-	6	1.520702	N	mature,MIMAT0000231
hsa-mir-199a-1	hg38:chr19:10817472-10817492:-	3	0.760351	N	mature,MIMAT0000231
hsa-mir-199a-2	hg38:chr1:172144552-172144576:-	13	3.294855	N	mature,MIMAT0000232
hsa-mir-199a-2	hg38:chr1:172144553-172144575:-	5	1.267252	Y	mature,MIMAT0000232
hsa-mir-199a-2	hg38:chr1:172144553-172144576:-	17	4.308657	Y	mature,MIMAT0000232
hsa-mir-199a-2	hg38:chr1:172144553-172144577:-	7	1.774153	Y	mature,MIMAT0000232
hsa-mir-199a-2	hg38:chr1:172144554-172144573:-	1	0.253450	Y	mature,MIMAT0000232
hsa-mir-199a-2	hg38:chr1:172144554-172144575:-	74	18.755330	Y	mature,MIMAT0000232
hsa-mir-199a-2	hg38:chr1:172144554-172144576:-	170	43.086570	Y	mature,MIMAT0000232
hsa-mir-199a-2	hg38:chr1:172144554-172144577:-	24	6.082810	Y	mature,MIMAT0000232
hsa-mir-199a-2	hg38:chr1:172144555-172144573:-	2	0.506901	Y	mature,MIMAT0000232
hsa-mir-199a-2	hg38:chr1:172144555-172144575:-	64	16.220826	Y	mature,MIMAT0000232
hsa-mir-199a-2	hg38:chr1:172144555-172144576:-	390	98.845660	Y	mature,MIMAT0000232
hsa-mir-199a-2	hg38:chr1:172144555-172144577:-	159	40.298615	Y	mature,MIMAT0000232
hsa-mir-199a-2	hg38:chr1:172144556-172144575:-	13	3.294855	Y	mature,MIMAT0000232
hsa-mir-199a-2	hg38:chr1:172144556-172144576:-	48	12.165620	Y	mature,MIMAT0000232
hsa-mir-199a-2	hg38:chr1:172144556-172144577:-	51	12.925971	Y	mature,MIMAT0000232
hsa-mir-199a-2	hg38:chr1:172144556-172144578:-	1	0.253450	Y	mature,MIMAT0000232
hsa-mir-199a-2	hg38:chr1:172144557-172144576:-	2	0.506901	Y	mature,MIMAT0000232
hsa-mir-199a-2	hg38:chr1:172144557-172144577:-	10	2.534504	Y	mature,MIMAT0000232
hsa-mir-199a-2	hg38:chr1:172144591-172144615:-	4	1.013802	N	mature,MIMAT0000231
hsa-mir-199a-2	hg38:chr1:172144592-172144614:-	2	0.506901	N	mature,MIMAT0000231
hsa-mir-199a-2	hg38:chr1:172144592-172144615:-	837	212.137994	N	mature,MIMAT0000231
hsa-mir-199a-2	hg38:chr1:172144593-172144615:-	47	11.912169	N	mature,MIMAT0000231
hsa-mir-199a-2	hg38:chr1:172144594-172144615:-	5	1.267252	N	mature,MIMAT0000231
hsa-mir-199a-2	hg38:chr1:172144595-172144615:-	3	0.760351	N	mature,MIMAT0000231
hsa-mir-199b	hg38:chr9:128244744-128244766:-	6	1.520702	Y	mature,MIMAT0004563
hsa-mir-199b	hg38:chr9:128244744-128244767:-	24	6.082810	Y	mature,MIMAT0004563
